channel_id,dow,n,median_views,median_vpd,channel_median,index_vs_channel
UChlTcWDE8gd4tsl_L727NrQ,Sunday,50,124047.5,408.9057473388371,125383.0,0.99
UChlTcWDE8gd4tsl_L727NrQ,Monday,9,114843.0,326.6776766527196,125383.0,0.92
UChlTcWDE8gd4tsl_L727NrQ,Tuesday,7,98756.0,260.93127636197323,125383.0,0.79
UChlTcWDE8gd4tsl_L727NrQ,Wednesday,11,92217.0,183.4087863826895,125383.0,0.74
UCiQpvtOQk1Iz95h9xbIgHsw,Wednesday,9,5941.0,18.392875522945513,5125.0,1.16
UCiQpvtOQk1Iz95h9xbIgHsw,Friday,91,5125.0,14.415483329207717,5125.0,1.0
UCiQpvtOQk1Iz95h9xbIgHsw,Tuesday,87,5073.0,14.329652122112563,5125.0,0.99
UCjKvFMbYVKOnBDarCtXfEww,Monday,45,78395.0,438.9098298527653,73794.5,1.06
UCjKvFMbYVKOnBDarCtXfEww,Thursday,51,66576.0,379.64854742164084,73794.5,0.9
UCjxK94XQv29_nNirjMoR7bg,Tuesday,18,8785.0,25.38551983960994,5122.0,1.72
UCjxK94XQv29_nNirjMoR7bg,Monday,44,7448.5,49.90253170875788,5122.0,1.45
UCjxK94XQv29_nNirjMoR7bg,Friday,165,5704.0,22.04781127011279,5122.0,1.11
UCjxK94XQv29_nNirjMoR7bg,Saturday,23,4758.0,19.164624589285154,5122.0,0.93
UCjxK94XQv29_nNirjMoR7bg,Wednesday,146,4269.5,22.441372733768176,5122.0,0.83
UCjxK94XQv29_nNirjMoR7bg,Sunday,134,3899.0,21.242143467522112,5122.0,0.76
UCjxK94XQv29_nNirjMoR7bg,Thursday,11,3839.0,71.01310732672405,5122.0,0.75
UCkCGANrihzExmu9QiqZpPlQ,Tuesday,7,1140802.0,3787.1285137295085,930716.0,1.23
UCkCGANrihzExmu9QiqZpPlQ,Friday,19,1009479.0,3223.4719110484316,930716.0,1.08
UCkCGANrihzExmu9QiqZpPlQ,Wednesday,15,1006812.0,2893.376510714415,930716.0,1.08
UCkCGANrihzExmu9QiqZpPlQ,Thursday,19,1000201.0,3419.3549493971796,930716.0,1.07
UCkCGANrihzExmu9QiqZpPlQ,Sunday,16,908353.5,2833.82527723877,930716.0,0.98
UCkCGANrihzExmu9QiqZpPlQ,Monday,11,732020.0,3922.27722480378,930716.0,0.79
UCkCGANrihzExmu9QiqZpPlQ,Saturday,11,660650.0,2832.838637686671,930716.0,0.71
UCly58gB7268VKzsH4zlMMvQ,Tuesday,4,217779.5,254.28476258521357,96392.0,2.26
UCly58gB7268VKzsH4zlMMvQ,Sunday,8,180527.5,231.47682716094369,96392.0,1.87
UCly58gB7268VKzsH4zlMMvQ,Wednesday,6,108085.0,143.74911446285137,96392.0,1.12
UCly58gB7268VKzsH4zlMMvQ,Monday,23,96392.0,164.44302096892733,96392.0,1.0
UCly58gB7268VKzsH4zlMMvQ,Friday,4,20711.5,17.533163450003556,96392.0,0.21
UCly58gB7268VKzsH4zlMMvQ,Thursday,4,10517.0,7.548289276453389,96392.0,0.11
UCngIhBkikUe6e7tZTjpKK7Q,Tuesday,13,8079.0,122.20870323297875,6915.0,1.17
