channel_id,title,handle,url,bucket,country,subscriber_count,total_views,public_video_count,videos_collected,videos_mature,first_seen,last_upload,days_since_last_upload,uploads_per_week,uploads_per_month,median_views_all_mature,mean_views_all_mature,median_views_last10,median_views_last30,median_vpd,views_per_sub,n_longform,n_shorts,median_views_longform,median_views_shorts,median_duration_sec_longform,pct_outperform_2x,top10pct_view_share,gini_views,median_engagement_rate,likes_hidden_pct
UCsR-oBB7cabU76oTguE17Qw,EA Trading,@eatrading,https://www.youtube.com/@eatrading,B,AE,524000,23564380,335,149,145,2024-09-26,2026-09-04,3,1.48,6.42,12047.0,25103.63703703704,9442.5,9778.0,48.31065046894524,0.023,135,10,12047.0,37084.0,662.0,0.074,0.553,0.555,0.0559,0.0
UCHj7vxqgE8NSpuwjM19LAsg,L'Économie Expliquée,@economie-expliquee,https://www.youtube.com/@economie-expliquee,F,FR,59500,5150426,135,60,60,2024-04-14,2026-04-26,135,0.57,2.46,14270.5,26928.666666666668,6004.0,8660.5,30.18813495355723,0.2398,60,0,14270.5,,1070.0,0.267,0.391,0.539,0.0309,0.0
UCD_hOUSXUXViTvIkbLasfdQ,اخبار البنوك,@اخبارالبنوك,https://www.youtube.com/@اخبارالبنوك,B,EG,141000,52962644,4300,600,567,2025-04-26,2026-09-06,1,8.45,36.75,10187.0,11391.502732240437,10076.5,8635.0,39.60431637680161,0.0722,549,18,10187.0,5649.5,1867.0,0.04,0.208,0.226,0.0647,0.0
UCtYzVCmNxrshH4_bPO_-Y-A,The Art of Improvement,@theartofimprovement,https://www.youtube.com/@theartofimprovement,W,GB,1100000,66867285,372,60,58,2024-06-23,2026-08-30,8,0.53,2.29,13283.5,15724.758620689656,6862.0,8508.0,38.793049693087525,0.0121,58,0,13283.5,,585.5,0.155,0.213,0.338,0.0434,0.0
UCIP3QFzSshFMYBSLtHAZvQA,وليد مغربي,@walidmograbi,https://www.youtube.com/@walidmograbi,B,RO,153000,12512043,899,338,336,2024-09-07,2026-08-23,15,3.31,14.39,10882.0,12296.239436619719,8340.5,7793.0,29.88268005947049,0.0711,142,194,10882.0,2688.0,1074.5,0.063,0.205,0.254,0.059,0.0
UCnyrbg0-3GvZyqDSUqVXo2Q,Sticko Explains,@stickoexplains,https://www.youtube.com/@stickoexplains,W,US,130000,11103306,125,128,119,2025-06-29,2026-09-06,1,2.07,9.0,23888.0,93013.93277310925,7391.5,6737.5,125.09970385478202,0.1838,119,0,23888.0,,741.0,0.328,0.603,0.737,0.0433,0.0
UCngIhBkikUe6e7tZTjpKK7Q,More Crypto Online,@morecryptoonline,https://www.youtube.com/@morecryptoonline,F,GB,325000,82548341,27220,600,409,2026-06-13,2026-09-07,1,48.84,212.37,6915.0,7059.022900763359,6279.5,6127.5,122.20870323297875,0.0213,131,278,6915.0,772.5,531.0,0.023,0.19,0.262,0.0545,0.0
UCPNoCO-IKY1PIQZCUqf4OfA,Draw The Life TikTak,@drawthelifetiktak,https://www.youtube.com/@drawthelifetiktak,W,ES,1450000,363703119,1167,136,134,2024-09-08,2026-08-29,9,1.32,5.75,7919.5,15034.78,3701.0,4702.5,26.299029692474065,0.0055,100,34,7919.5,8083.5,314.5,0.25,0.401,0.494,0.0298,0.0
UCjxK94XQv29_nNirjMoR7bg,الخبير المالي,@mohamedkhairuldin,https://www.youtube.com/@mohamedkhairuldin,B,EG,162000,21588726,1452,600,565,2025-07-25,2026-09-06,1,10.29,44.76,5122.0,6075.602587800369,5320.5,4484.0,23.532766055557328,0.0316,541,24,5122.0,2087.5,605.0,0.159,0.267,0.397,0.0418,0.0
UCO3qWot3L3egKYit9x9uWGw,البورصة للمبتدئين,@borsa-for-beginners,https://www.youtube.com/@borsa-for-beginners,A,EG,28800,1979604,654,521,504,2024-09-07,2026-09-05,2,5.01,21.78,2855.0,3281.192857142857,7444.5,4434.0,7.626964303140564,0.0991,420,84,2855.0,3231.5,612.0,0.04,0.259,0.284,0.079,0.0
UCNj1mz_ZzBs-8x28Jd_bCEA,The Financial Explainer ,@financial_explainer,https://www.youtube.com/@financial_explainer,D,,22000,2054926,99,81,76,2024-09-21,2026-09-05,2,0.79,3.45,3678.0,26221.17105263158,4028.5,4231.0,22.582571485577933,0.1672,76,0,3678.0,,856.5,0.368,0.784,0.851,0.027,0.0
UCqiW-g-FwZ6HJ0fsNHC-Iew,مـــؤشــرات  الاقتصـــاد 🧽  💲,@mostafaosama0,https://www.youtube.com/@mostafaosama0,A,EG,61000,9204949,2024,600,541,2025-10-28,2026-09-07,1,13.38,58.17,3700.0,4573.541589648798,3206.5,3925.5,24.798616068478808,0.0607,541,0,3700.0,,518.0,0.131,0.248,0.308,0.0513,0.0
UC-08FfiuOa8Swp8NQX_lrRw,مستثمر العملة الرقمية بيتكوين,@مستثمرالعملةالرقميةبيتكوين,https://www.youtube.com/@مستثمرالعملةالرقميةبيتكوين,B,GB,101000,19381419,4435,600,553,2025-09-26,2026-09-07,0,12.17,52.94,2837.0,3063.980879541109,3412.0,3229.0,14.652245003373638,0.0281,523,30,2837.0,6868.5,3418.0,0.019,0.181,0.196,0.0736,0.0
UCF09Jbsxb7x6lJ5imkapHNA,Julien Roman | Finance & Investissement,@julienroman,https://www.youtube.com/@julienroman,F,US,470000,45699373,1863,600,507,2026-03-16,2026-09-07,0,24.0,104.37,13770.0,21934.233333333334,2648.0,3064.5,113.54902337538003,0.0293,30,477,13770.0,3776.0,992.5,0.133,0.438,0.513,0.0385,0.0
